Trial,Seed,RMSE,MAE,R2,Training_Time_Seconds,MSE
1,43,1.6734756777191344,1.333465290743314,0.9340707685413128,16.27797818183899,2.8005208439175164
2,44,1.8339385873738654,1.4603416959236482,0.9208212245732412,15.568770170211792,3.363330742258849
3,45,1.788915242766755,1.424323724773385,0.9246611940277085,14.707708358764648,3.2002177458032377
4,46,1.785926155243231,1.425339815619601,0.9249127499893482,16.152743577957153,3.1895322319818695
5,47,1.7161644822509763,1.3710345922461418,0.9306642810924992,16.38333034515381,2.945220530139762
6,48,1.8204944064905502,1.4378642006891396,0.9219778521801266,15.438332319259644,3.3141998840633806
7,49,1.7328938785869732,1.3862450933279966,0.9293059050388055,14.657557249069214,3.002921194444203
8,50,1.617833233205113,1.3046572596450117,0.9383821261850669,14.56828236579895,2.6173843704629096
9,51,1.7375970382615558,1.38540551345188,0.9289216497627395,14.269492387771606,3.0192434673753303
10,52,1.690662946328636,1.3503800971450295,0.9327095747757139,14.505059957504272,2.8583411980886244
AVERAGE,N/A,1.7397901648226792,1.3879057283565148,0.9286427326166564,15.252925491333007,0.0
