Trial,Seed,RMSE,MAE,R2,Training_Time_Seconds,Bandwidth_MB,Rounds,Num_Clients
1,43,0.38206945532513553,0.2982593812048435,0.8658723061429664,145.03361177444458,0.91827392578125,10,4
2,44,0.3713516832206671,0.27795908600091934,0.8654802914011878,135.76852941513062,0.91827392578125,10,4
3,45,0.363762045149612,0.28264402970671654,0.8695225635544371,144.0789053440094,0.91827392578125,10,4
4,46,0.3585931472523928,0.2760276608169079,0.8626034278701611,141.00177145004272,0.91827392578125,10,4
5,47,0.3703071791029181,0.28719301521778107,0.863564993400429,143.2221541404724,0.91827392578125,10,4
6,48,0.34023089116937383,0.26441601291298866,0.882106036647743,145.15692329406738,0.91827392578125,10,4
7,49,0.3621633413319859,0.28631148487329483,0.8538157594465914,145.89247798919678,0.91827392578125,10,4
8,50,0.3579874904918746,0.28053610026836395,0.871462138239666,144.65023565292358,0.91827392578125,10,4
9,51,0.35814065263654116,0.27765868231654167,0.8714015051531298,149.8296685218811,0.91827392578125,10,4
10,52,0.37919291855271564,0.2919965609908104,0.8512632795444822,173.8549039363861,0.91827392578125,10,4
AVERAGE,N/A,0.36437988042332164,0.2823002014309168,0.8657092301400795,146.84891815185546,0.91827392578125,10,4
